twoPtRushId,playId,teamId,playerId,twoPtRushPosition,twoPtRushResult,twoPtRushNull
420001,1262,3800,20020081,QB,good,0
420002,6529,610,20000466,QB,failed,0
420003,9417,810,20000007,RB,failed,0
420004,15440,1400,19970889,P,failed,0
420005,22565,3000,19990011,QB,good,0
420006,23114,2200,19990004,RB,good,0
420007,24884,2100,19950003,QB,good,0
420008,25684,2120,20020099,RB,good,0
420009,29943,3200,19970043,RB,good,0
420010,30095,610,20030023,RB,failed,0
420011,33705,810,20040148,QB,good,0
420012,36389,3430,20010049,RB/KR,failed,0
420013,36700,1200,20040043,RB,failed,0
420014,36748,1200,20030677,RB,failed,0
420015,44226,200,19970012,RB,failed,0
420016,44617,1200,20040216,WR,failed,0
420017,45914,4500,20000212,QB,good,0
420018,47543,2510,19940002,RB,good,0
420019,47868,2510,19940002,RB,good,0
420020,48243,2510,20040024,RB,good,0
1420001,1000496,3800,19970403,FB,good,0
1420002,1007362,3000,19960075,RB,failed,0
1420003,1008804,810,20020199,RB,failed,0
1420004,1009433,810,20020158,QB,failed,0
1420005,1010283,325,20050158,FB,good,0
1420006,1014107,2120,20020153,SS,failed,0
1420007,1016899,1400,20000011,RB,failed,0
1420008,1017189,3800,19970403,FB,good,0
1420009,1023544,2510,19940002,RB,good,0
1420010,1024637,2250,20020108,QB,good,0
1420011,1026304,2520,20010049,RB,good,0
1420012,1028388,3200,20010082,FB,good,0
1420013,1029237,1050,20000081,RB,failed,0
1420014,1030234,4400,20030149,P,failed,0
1420015,1031386,3300,19990438,RB,good,0
1420016,1035161,3410,19970036,RB,good,0
1420017,1043919,4400,20010005,RB,failed,0
1420018,1046441,3800,19970403,FB,good,0
1420019,1047583,2510,20040024,RB,failed,0
1420020,1051244,4900,19960035,FB,good,0
2420001,2000456,1400,20040128,RB,good,0
2420002,2014494,1200,20030681,QB,good,0
2420003,2015593,2120,20050073,RB,good,0
2420004,2021384,2120,20000011,RB,good,0
2420005,2024666,2250,20030132,RB,good,0
2420006,2025511,2250,20020401,QB,failed,0
2420007,2026951,2700,20010605,QB,failed,0
2420008,2034511,3410,19970036,RB,failed,0
2420009,2042599,3200,19990046,RB,good,0
2420010,2045531,4500,20060100,RB,good,0
2420011,2050453,2100,20060003,QB,good,0
2420012,2051584,2100,20010058,RB,good,0
2420013,2052457,3000,20050483,P,failed,0
3420001,3009503,3300,20070622,RB,good,0
3420002,3010162,920,20010100,HB,good,0
3420003,3015141,1400,20070416,RB,failed,0
3420004,3015723,3000,20060064,QB,good,0
3420005,3015735,3000,20060064,QB,good,0
3420006,3022196,2120,20070652,RB,good,0
3420007,3022338,2250,20020108,QB,good,0
3420008,3023908,2120,20050497,RB,good,0
3420009,3025317,2310,19970440,RB,good,0
3420010,3025626,2700,20070040,QB,good,0
3420011,3026724,610,20070012,RB,good,0
3420012,3027237,2700,20060751,RB,good,0
3420013,3028320,3000,20030200,QB,good,0
3420014,3032044,3300,20060002,RB,good,0
3420015,3032948,3300,20060002,RB,good,0
3420016,3032986,3300,20060002,RB,good,0
3420017,3034066,3200,20060021,RB,good,0
3420018,3035713,2700,20050002,RB,good,0
3420019,3037682,2200,20060030,RB,good,0
3420020,3040913,3900,20040011,QB,failed,0
3420021,3042597,2200,20060030,RB,failed,0
3420022,3044104,920,20010411,HB,failed,0
4420001,4000627,1400,20060648,QB,good,0
4420002,4002227,750,20060027,RB,good,0
4420003,4004475,325,20060432,RB,good,0
4420004,4007764,1540,19990011,QB,failed,0
4420005,4019892,1800,20080567,RB,good,0
4420006,4021191,2120,20080089,RB,failed,0
4420007,4022817,3200,19990046,RB,failed,0
4420008,4023612,2250,20060060,RB/KR,failed,0
4420009,4024726,2310,20080701,RB,good,0
4420010,4028996,2200,20010429,RB,good,0
4420011,4031413,3300,20060002,RB,failed,0
4420012,4031756,3300,20010023,RB,failed,0
4420013,4034792,3800,19990004,RB,good,0
4420014,4034853,3430,20060117,RB,good,0
4420015,4041991,1400,20060011,QB,good,0
5420001,5000337,1800,20090633,RB,failed,0
5420002,5007224,750,20060027,RB,good,0
5420003,5012976,1050,20070022,QB,failed,0
5420004,5013441,1200,20080122,RB,good,0
5420005,5017194,1050,20000005,RB,good,0
5420006,5021739,1400,20090012,RB,failed,0
5420007,5022065,2250,20060060,RB/KR,failed,0
5420008,5022666,2200,20090027,RB,failed,0
5420009,5023884,2250,20020108,QB,good,0
5420010,5025033,2100,20080024,RB,good,0
5420011,5026215,2310,20050230,QB,failed,0
5420012,5028888,3000,20050483,P,failed,0
5420013,5030830,325,20030023,RB,failed,0
5420014,5035094,3410,20080240,RB,failed,0
5420015,5042541,920,20030001,QB,good,0
5420016,5045437,4900,20090017,QB,good,0
5420017,5051667,2700,19990005,RB,good,0
5420018,5053087,5110,20060246,RB,failed,0
6420001,6005182,610,20030991,RB,failed,0
6420002,6006827,3800,20080149,RB,failed,0
6420003,6008306,750,20090514,RB,failed,0
6420004,6009478,810,19970095,P,failed,0
6420005,6009523,810,20020207,RB,good,0
6420006,6011571,920,20090185,HB,good,0
6420007,6012044,920,20050004,HB,good,0
6420008,6014316,1200,20090679,RB,failed,1
6420009,6014317,1200,20100577,RB,good,0
6420010,6014326,2700,20080204,RB,good,0
6420011,6020345,3900,20020062,WR,good,0
6420012,6021787,4400,20080596,FB,good,0
6420013,6028893,2700,20050002,RB,failed,0
6420014,6032097,3200,20000156,RB,good,0
6420015,6034687,3410,20070250,RB,good,0
6420016,6034884,3410,20090134,RB,good,0
6420017,6042109,3900,20040119,RB,good,0
6420018,6042124,3900,20040119,RB,good,0
6420019,6045206,3300,20070228,RB,failed,0
6420020,6050897,4900,20090017,QB,failed,0
6420021,6054238,4900,20090017,QB,good,0
7420001,7003106,4900,20090017,QB,failed,0
7420002,7004731,325,20060203,P,good,0
7420003,7006147,610,20050250,QB,good,0
7420004,7008558,200,20080003,QB,failed,0
7420005,7010176,3800,20100155,QB,failed,0
7420006,7014150,3410,20070422,RB,good,0
7420007,7015795,1400,20090412,P,failed,0
7420008,7016592,1400,20030023,RB,good,0
7420009,7018778,810,20020081,QB,good,0
7420010,7018950,1400,20090012,RB,failed,0
7420011,7022094,2120,19970478,QB,failed,0
7420012,7025162,2250,20110608,RB,failed,0
7420013,7027548,1400,20100025,QB,good,0
7420014,7029199,1400,20100025,QB,good,0
7420015,7030525,3200,20080560,RB,good,0
7420016,7031126,3200,20100150,P,failed,0
7420017,7032109,3410,20070422,RB,failed,0
7420018,7032422,3200,20080560,RB,good,0
7420019,7035097,3410,20070422,RB,good,0
7420020,7035723,3410,20070250,RB,good,0
7420021,7039101,3300,20100423,RB,good,0
7420022,7040592,3410,20050110,RB,good,0
7420023,7046759,4500,20050065,RB,failed,0
7420024,7052672,3300,20070622,RB,failed,0
8420001,8005734,2250,20060480,RB,good,0
8420002,8009954,810,20070101,P,good,0
8420003,8015526,1200,20030681,QB,good,0
8420004,8015931,1050,20100085,QB,failed,0
8420005,8016794,1400,20030023,RB,failed,0
8420006,8018159,1050,20120815,RB,failed,0
8420007,8023607,2200,20090027,RB,good,0
8420008,8023939,2250,20060060,RB,failed,0
8420009,8030140,3000,20070007,RB,good,0
8420010,8033064,3200,20110056,RB,good,0
8420011,8035306,3300,20050130,RB,good,0
8420012,8036766,3410,20090129,RB,good,0
8420013,8043563,200,20110192,P,failed,0
8420014,8050217,2510,20120252,RB,good,0
8420015,8053875,5110,20120102,QB,good,0
9420001,9008900,1050,20130473,RB,failed,0
9420002,9009280,810,20080044,RB,failed,0
9420003,9009745,810,20080044,RB,good,0
9420004,9010178,325,20080055,RB,good,0
9420005,9013900,1200,20030681,QB,failed,0
9420006,9016350,3200,20110056,RB,failed,0
9420007,9022973,2120,20090637,RB,good,0
9420008,9026118,3700,20120778,RB,good,0
9420009,9029465,2700,20110646,QB,good,0
9420010,9031922,1050,20090211,RB,failed,0
9420011,9032004,3200,20110056,RB,failed,0
9420012,9032341,3200,20110073,RB,good,0
9420013,9033453,4900,20130189,RB,good,0
9420014,9035433,3410,20090129,RB,good,0
9420015,9038401,3700,20130658,RB,good,0
9420016,9039960,3900,20100082,WR,good,0
9420017,9041277,3700,20120229,RB,good,0
9420018,9041311,3700,20120778,RB,failed,0
9420019,9041354,3700,20130035,TE,failed,0
9420020,9042357,5110,20120002,QB,good,0
9420021,9045801,3800,20080023,RB,good,0
9420022,9046576,3300,20110028,RB,good,0
9420023,9049287,2510,20100001,QB,good,0
9420024,9050152,3300,20070622,RB,failed,0
9420025,9050499,2510,20130438,RB,good,0
10420001,10001115,3800,20100188,RB,failed,0
10420002,10001639,3800,20130140,RB,good,0
10420003,10003109,2100,20140054,RB,good,0
10420004,10003607,325,20080233,RB,failed,0
10420005,10008673,810,20080044,RB,good,0
10420006,10010289,325,20080233,RB,good,0
10420007,10012813,1050,20110575,P,failed,0
10420008,10016376,2700,20110062,RB,good,0
10420009,10017178,610,20030991,RB,good,0
10420010,10018808,200,20110145,RB,failed,0
10420011,10019477,1540,20100423,RB,failed,0
10420012,10020227,1800,20100193,RB,good,0
10420013,10020339,2520,20140687,RB,good,0
10420014,10021363,2200,20120092,WR,failed,0
10420015,10025598,2250,20140601,RB,failed,0
10420016,10025929,920,20130563,QB,good,0
10420017,10029456,2700,20140629,RB,good,0
10420018,10030188,3000,20140032,QB,failed,1
10420019,10030189,3000,20110433,RB,good,0
10420020,10032366,5110,20120002,QB,failed,0
10420021,10032380,3000,20110433,RB,good,0
10420022,10036305,3800,20100188,RB,failed,0
10420023,10043214,325,20140138,RB,failed,0
10420024,10052384,2100,20060117,RB,failed,0
11420001,11002267,200,20130249,QB,failed,0
11420002,11003209,2100,20140779,RB,good,0
11420003,11005751,2120,20120840,RB,good,0
11420004,11006281,610,20090022,WR,failed,0
11420005,11006452,3410,20140113,RB,good,0
11420006,11006662,3900,20060027,RB,good,0
11420007,11006668,610,20030991,RB,failed,0
11420008,11006919,3800,20150159,WR,good,0
11420009,11007862,750,20100199,QB,good,0
11420010,11008126,3300,20040106,QB,failed,0
11420011,11009335,810,20150106,RB,failed,0
11420012,11011244,920,20140055,HB,good,0
11420013,11011940,920,20140055,HB,failed,0
11420014,11012632,325,20040090,QB,failed,0
11420015,11016531,1400,20120057,QB,failed,0
11420016,11017749,1400,20140537,RB,good,0
11420017,11018379,1540,20100423,RB,failed,0
11420018,11018623,1800,20050024,QB,failed,0
11420019,11020613,3700,20100025,QB,failed,0
11420020,11024948,610,20090053,RB,good,0
11420021,11025999,2250,20140222,RB,failed,0
11420022,11027823,2310,20140612,RB,good,0
11420023,11029130,4600,20070012,RB,good,0
11420024,11029761,2700,20150149,RB,good,0
11420025,11031506,1540,20100423,RB,failed,0
11420026,11031883,2510,20150010,RB,failed,0
11420027,11031944,3000,20140032,QB,good,0
11420028,11032230,2520,20130181,RB,failed,0
11420029,11032991,3000,20140032,QB,failed,0
11420030,11033355,3200,20120601,RB,good,0
11420031,11035305,3300,20110028,RB,good,0
11420032,11036064,3300,20130804,RB,failed,0
11420033,11037718,3430,20130160,RB,good,0
11420034,11042265,325,20150701,RB,good,1
11420035,11044825,1800,20100193,RB,good,0
11420036,11044891,1800,20150676,RB,good,0
11420037,11045663,810,20150106,RB,good,0
11420038,11047106,4400,20140985,RB,failed,0
11420039,11048602,4600,20150503,RB,failed,0
11420040,11051086,920,20140489,HB,good,0
11420041,11051900,3410,20030222,K,failed,0
11420042,11052844,2100,20150108,FB,failed,0
11420043,11053802,610,20110180,QB,good,0
12420001,12000139,3800,20160915,RB,good,0
12420002,12001996,750,20110001,QB,good,0
12420003,12002122,200,20080003,QB,failed,0
12420004,12002179,1800,20050024,QB,good,0
12420005,12002324,1800,20150206,RB,good,0
12420006,12002351,1800,20130062,RB,failed,0
12420007,12002801,3200,20140130,RB,good,0
12420008,12002973,3300,20110028,RB,failed,0
12420009,12005032,3700,20100012,RB,good,0
12420010,12006144,610,20090053,RB,good,0
12420011,12007801,3000,20140096,RB,good,0
12420012,12008034,750,20160875,RB,failed,0
12420013,12011102,1400,20150250,QB,failed,0
12420014,12014537,1200,20160135,QB,good,0
12420015,12017769,1540,20160236,RB,good,0
12420016,12020000,3000,20140096,RB,failed,0
12420017,12024431,2250,20130135,RB,good,0
12420018,12027382,4600,20160975,RB,good,0
12420019,12029303,4500,20110036,QB,good,0
12420020,12032194,2510,20150701,RB,good,0
12420021,12032458,3000,20110433,RB,failed,0
12420022,12032940,3200,20120693,RB,failed,0
12420023,12033890,3200,20140130,RB,good,0
12420024,12033907,3300,20150075,QB,good,0
12420025,12033925,3300,20160678,WR,good,0
12420026,12033931,3200,20140130,RB,failed,0
12420027,12034677,3300,20110028,RB,good,0
12420028,12034886,3300,20160237,RB,good,0
12420029,12036188,3300,20110028,RB,good,0
12420030,12039643,200,20080003,QB,good,0
12420031,12041001,2520,20160100,QB,failed,0
12420032,12041305,3700,20100012,RB,good,0
12420033,12041879,3700,20160002,QB,good,0
12420034,12045789,4500,20110608,RB,failed,0
12420035,12045913,4500,20160211,RB,good,0
12420036,12046730,610,20110180,QB,good,0
12420037,12047683,4600,20160788,QB,good,0
12420038,12048064,4500,20140057,RB,good,0
12420039,12049413,3430,20150103,QB,good,0
12420040,12049943,4900,20150001,QB,failed,0
12420041,12050795,2510,20120511,QB,failed,0
12420042,12052089,1800,20100193,RB,failed,0
12420043,12052600,2250,20140003,QB,good,0
12420044,12053919,5110,20130154,RB,failed,0
12420045,12053952,5110,20120102,QB,failed,0
12420046,12054318,3410,20040001,QB,failed,0
13454959,13087111,3000,20120511,QB,failed,0
13454001,13000025,3800,20110010,QB,good,0
13454003,13001343,3300,20160237,RB,failed,1
13454004,13001344,3300,20160237,RB,good,0
13454005,13001410,3700,20170760,DB,failed,1
13454093,13009093,3200,20130164,RB,good,0
13454094,13009345,750,20150174,RB,failed,0
13454095,13009724,3000,20150870,QB,good,0
13454096,13010062,3430,20170188,RB,failed,0
13454183,13017183,1050,20140493,RB,good,0
13454184,13017564,1540,20160191,QB,failed,0
13454318,13029289,325,20140094,RB,failed,0
13454319,13029659,1200,20160135,QB,good,1
13454320,13030312,2310,20050001,QB,failed,0
13454363,13033014,810,20170002,QB,good,0
13454364,13033863,2120,20170012,QB,good,0
13454408,13037058,4900,20140069,RB,failed,0
13454409,13037084,4900,20120031,RB,good,0
13454410,13037564,3700,20100498,RB,good,0
13454498,13045743,3000,20140096,RB,good,0
13454499,13046585,200,20080003,QB,failed,0
13454543,13050127,2700,20160073,RB,good,0
13454588,13055088,3410,20140811,RB,good,0
13454589,13055232,4900,20050250,QB,failed,0
13454633,13057674,2250,20170004,RB,failed,0
13454634,13057777,3700,20170761,RB,good,0
13454635,13058982,3300,20170067,RB,good,0
13454678,13063211,750,20110001,QB,good,0
13454723,13067571,3430,20170188,RB,good,0
13454768,13071533,3700,20120088,QB,failed,0
13454769,13072030,3900,20130048,RB,failed,0
13454858,13079863,3700,20120088,QB,failed,0
13454903,13083078,610,20150230,RB,failed,0
14454948,14086229,3700,20160153,RB,failed,0
14454949,14086348,4600,20150126,RB,good,0
14454950,14086395,4600,20170249,RB,good,0
14454003,14001925,3200,20180807,RB,good,0
14454004,14002473,3700,20160153,RB,good,0
14454005,14002487,3900,20140831,RB,good,0
14454006,14002496,3700,20160153,RB,failed,0
14454007,14002894,4500,20170121,RB,failed,0
14454048,14004640,2700,20150106,RB,good,0
14454049,14005421,3900,20170135,QB,good,0
14454050,14005830,2200,20170615,QB,failed,0
14454051,14006119,2520,20180833,RB,failed,0
14454093,14008535,610,20120678,RB,failed,0
14454094,14008733,3200,20130164,RB,good,0
14454095,14009361,4500,20170162,RB,good,0
14454096,14009621,3300,20170562,QB,good,0
14454097,14009630,3300,20180201,RB,good,0
14454098,14009649,3300,20160156,RB,failed,0
14454138,14012592,1400,20160026,QB,good,0
14454139,14013403,1050,20180726,RB,good,0
14454140,14013876,3300,20160156,RB,failed,0
14454141,14014136,3410,20160658,RB,failed,0
14454142,14014379,3900,20180076,QB,good,0
14454183,14017028,750,20141042,P,failed,0
14454184,14017041,1200,20160135,QB,good,0
14454185,14018099,4400,20150015,RB,good,0
14454186,14018785,3300,20170067,RB,good,0
14454187,14018942,3410,20180002,RB,failed,0
14454188,14019300,3700,20150149,RB,good,0
14454228,14022017,2510,20150010,RB,good,0
14454229,14022054,2510,20150010,RB,good,0
14454230,14022256,3300,20170067,RB,good,0
14454318,14030861,1050,20150077,RB,good,0
14454319,14030906,1050,20150077,RB,good,0
14454363,14034487,3300,20170562,QB,failed,0
14454364,14034858,3700,20160153,RB,good,0
14454365,14035229,4500,20150165,P,failed,0
14454453,14041360,3410,20180002,RB,good,0
14454454,14041758,2200,20170143,RB,good,0
14454455,14042415,1540,20100498,RB,failed,0
14454498,14046549,1400,20180512,RB,failed,0
14454499,14046676,2510,20150010,RB,failed,0
14454588,14053975,2200,20170143,RB,good,0
14454589,14054339,2510,20150010,RB,failed,0
14454633,14057789,325,20180676,RB,good,0
14454634,14058596,1400,20120511,QB,failed,0
14454678,14063569,3700,20170761,RB,good,0
14454679,14063628,3700,20180631,RB,good,0
14454723,14067278,2520,20160727,RB,failed,0
14454724,14067782,4500,20170790,QB,failed,0
14454768,14071861,3300,20170067,RB,good,0
14454813,14073894,4900,20120070,P,failed,0
14454858,14078858,325,20180676,RB,failed,0
14454859,14079517,1800,20050024,QB,good,0
14454860,14080040,2310,20170010,QB,good,0
14454903,14083854,3800,20150086,RB,good,0
15454948,15086019,2120,20170012,QB,good,0
15454949,15086246,2100,20160045,RB,failed,0
15454003,15001854,3000,20170534,QB,failed,0
15454048,15004982,750,20180464,RB,good,0
15454049,15005153,1400,20190673,RB,failed,0
15454050,15005281,1540,20150940,RB,failed,0
15454051,15006162,3000,20180600,RB,good,0
15454052,15006714,2100,20150002,QB,good,0
15454093,15009626,2700,20190821,RB,good,1
15454094,15010462,3700,20180631,RB,good,0
15454138,15013888,2510,20170827,RB,good,0
15454183,15017750,2200,20170143,RB,good,0
15454184,15018839,3700,20050130,RB,good,0
15454228,15020765,3700,20160002,QB,failed,0
15454229,15021976,2250,20170004,RB,failed,0
15454273,15025892,325,20180032,QB,failed,0
15454274,15026039,325,20180032,QB,failed,0
15454275,15026828,3300,20140032,QB,failed,0
15454318,15029251,325,20110028,RB,good,0
15454363,15034857,2510,20160001,QB,failed,0
15454408,15037395,4600,20160090,RB,failed,0
15454409,15039253,4900,20150001,QB,good,0
15454453,15041314,610,20180007,QB,good,0
15454454,15041896,1400,20180512,RB,failed,0
15454498,15045364,3700,20190053,RB,good,0
15454499,15047304,750,20170008,RB,good,0
15454543,15050445,1800,20050024,QB,good,0
15454588,15055500,2100,20120008,QB,good,0
15454633,15057993,1200,20190128,RB,good,0
15454634,15059109,3200,20140130,RB,good,0
15454678,15063234,3700,20190053,RB,failed,0
15454723,15067194,4900,20160801,RB,good,0
15454768,15070567,5110,20190015,QB,failed,0
15454769,15071347,3200,20140130,RB,failed,0
15454770,15071425,3300,20170562,QB,failed,0
15454813,15073889,325,20110028,RB,good,0
15454814,15074481,2510,20150010,RB,good,0
15454815,15075946,200,20080003,QB,failed,0
15454858,15078896,920,20110035,QB,good,0
15454903,15084348,4900,20150001,QB,good,0
